kernel,tflops,gpu
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x32_SG2x4,154.1,5
BmgGemmBF16BF16FP32_RRR_Gemm_256x128x32_SG4x4,149.1,5
BmgGemmBF16BF16FP32_RCR_Gemm_128x128x32_SG2x4,148.5,6
BmgGemmBF16BF16FP32_RRR_Gemm_128x256x32_SG4x4,147.9,5
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x32_SG8x2,147.8,6
BmgGemmBF16BF16FP32_RRR_Gemm_256x128x32_SG8x2,147.4,6
BmgGemmBF16BF16FP32_RCR_Gemm_256x128x32_SG4x4,146.4,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST2,146.1,6
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x64_SG4x4,145.9,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST1,145.5,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST2,145.3,5
BmgGemmBF16BF16FP32_RCR_DataParallel_256x256x32,144.3,6
BmgGemmBF16BF16FP32_RCR_SplitK_256x256x32,144.2,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST3,144.0,5
BmgGemmBF16BF16FP32_RCR_Gemm_64x128x32_SG1x8,143.8,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST3,143.5,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG2x8_ST2,143.4,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG4x4_ST2,142.9,6
BmgGemmBF16BF16FP32_RCR_StreamK_256x256x32,142.3,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST3,141.8,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST1,141.8,5
BmgGemmBF16BF16FP32_RCR_Gemm_128x128x64_SG4x4,141.2,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_64x256x64_SG2x8_ST1,141.1,5
BmgGemmBF16BF16FP32_RCR_19,141.1,6
BmgGemmBF16BF16FP32_RCR_Gemm_128x256x32_SG4x4,141.1,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST1,140.3,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST2,139.5,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG8x2_ST2,139.5,5
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x64_SG8x2,139.4,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x256x32_SG8x4_ST1,139.4,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x32_SG4x4_ST3,139.0,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG4x4_ST2,139.0,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG4x4_ST3,139.0,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG8x2_ST3,138.9,6
BmgGemmBF16BF16FP32_RCR_Gemm_256x128x32_SG8x2,138.5,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG4x4_ST1,138.4,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG4x4_ST3,138.4,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x32_SG2x8_ST3,138.2,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG8x4_ST1,138.2,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG2x8_ST3,138.1,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x16_SG4x4_ST3,137.9,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x192x32_SG4x4_ST3,137.8,5
BmgGemmBF16BF16FP32_RCR_DataParallel_256x192x32,137.8,6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG8x2_ST1,137.7,5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG8x2_ST2,137.7,6
BmgGemmBF16BF16FP32_RRR_Gemm_256x256x32_SG8x4,137.6,6
