kernel,layout,scheduler,tile_m,tile_n,tile_k,sg_m,sg_n,stages,tflops,status,gpu,batch
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x32_SG2x4,RRR,Gemm,128,128,32,2,4,2,154.9,OK,6,batch_0507_gpu6
BmgGemmBF16BF16FP32_RRR_Gemm_128x256x32_SG4x4,RRR,Gemm,128,256,32,4,4,2,149.6,OK,6,batch_0513_gpu6
BmgGemmBF16BF16FP32_RRR_Gemm_256x128x32_SG4x4,RRR,Gemm,256,128,32,4,4,2,149.2,OK,5,batch_0522_gpu5
BmgGemmBF16BF16FP32_RRR_Gemm_256x128x32_SG8x2,RRR,Gemm,256,128,32,8,2,2,147.5,OK,6,batch_0523_gpu6
BmgGemmBF16BF16FP32_RCR_Gemm_128x128x32_SG2x4,RCR,Gemm,128,128,32,2,4,2,147.5,OK,5,batch_0420_gpu5
BmgGemmBF16BF16FP32_RCR_Gemm_256x128x32_SG4x4,RCR,Gemm,256,128,32,4,4,2,146.6,OK,6,batch_0435_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST2,RCR,GemmExhaustive,128,256,32,2,8,2,145.6,OK,5,batch_0078_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST2,RCR,GemmExhaustive,256,128,32,4,4,2,144.7,OK,5,batch_0156_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST3,RCR,GemmExhaustive,128,256,32,2,8,3,144.4,OK,6,batch_0079_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST3,RCR,GemmExhaustive,128,256,32,4,4,3,144.2,OK,5,batch_0080_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG2x8_ST2,RCR,GemmExhaustive,128,128,64,2,8,2,144.2,OK,6,unknown
BmgGemmBF16BF16FP32_RCR_StreamK_256x256x32,RCR,StreamK,256,256,32,,,2,144.1,OK,6,unknown
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST1,RCR,GemmExhaustive,256,128,32,4,4,1,143.5,OK,5,batch_0156_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG4x4_ST3,RCR,GemmExhaustive,256,128,32,4,4,3,143.2,OK,6,batch_0157_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_64x256x64_SG2x8_ST1,RCR,GemmExhaustive,64,256,64,2,8,1,143.2,OK,6,batch_0361_gpu6
BmgGemmBF16BF16FP32_RCR_Gemm_64x128x32_SG1x8,RCR,Gemm,64,128,32,1,8,2,143.2,OK,6,batch_0451_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG2x8_ST1,RCR,GemmExhaustive,128,256,32,2,8,1,142.2,OK,5,batch_0078_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG8x2_ST1,RCR,GemmExhaustive,256,128,32,8,2,1,142.1,OK,6,batch_0159_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG4x4_ST2,RCR,GemmExhaustive,128,128,64,4,4,2,141.5,OK,5,unknown
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG4x4_ST3,RCR,GemmExhaustive,128,128,64,4,4,3,140.9,OK,6,unknown
BmgGemmBF16BF16FP32_RCR_Gemm_128x128x64_SG4x4,RCR,Gemm,128,128,64,4,4,2,140.9,OK,5,batch_0424_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x32_SG8x2_ST2,RCR,GemmExhaustive,256,128,32,8,2,2,140.5,OK,6,batch_0159_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST1,RCR,GemmExhaustive,128,256,32,4,4,1,140.4,OK,6,batch_0079_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x128x16_SG4x4_ST2,RCR,GemmExhaustive,256,128,16,4,4,2,140.3,OK,6,batch_0147_gpu6
BmgGemmBF16BF16FP32_RCR_Gemm_128x256x32_SG4x4,RCR,Gemm,128,256,32,4,4,2,139.6,OK,5,batch_0426_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x256x32_SG4x4_ST2,RCR,GemmExhaustive,128,256,32,4,4,2,139.4,OK,5,batch_0080_gpu5
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_256x256x32_SG8x4_ST1,RCR,GemmExhaustive,256,256,32,8,4,1,139.4,OK,6,batch_0183_gpu6
BmgGemmBF16BF16FP32_RCR_GemmExhaustive_128x128x64_SG2x8_ST3,RCR,GemmExhaustive,128,128,64,2,8,3,139.1,OK,6,unknown
BmgGemmBF16BF16FP32_RRR_Gemm_128x128x64_SG8x2,RRR,Gemm,128,128,64,8,2,2,139.0,OK,5,batch_0512_gpu5
